action;sentence
ingediend; $ Lid1 :  $  De besluiten worden zoveel mogelijk gelijktijdig aangevraagd, met dien verstande dat de laatste aanvraag niet later wordt ingediend dan zes weken na ontvangst van de eerste aanvraag.  $ Lid2 :  $  De aanvragen worden ingediend bij het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan zendt terstond na ontvangst van de aanvragen een afschrift daarvan aan de bevoegde bestuursorganen.  $ Lid3 :  $  Indien een aanvraag voor een van de besluiten ontbreekt, stelt het cordinerend bestuursorgaan de aanvrager in de gelegenheid de ontbrekende aanvraag binnen een door het cordinerend bestuursorgaan te bepalen termijn in te dienen. Indien de ontbrekende aanvraag niet tijdig wordt ingediend, is het cordinerend bestuursorgaan bevoegd om deze paragraaf ten aanzien van bepaalde besluiten buiten toepassing te laten. In dat geval wordt voor de toepassing van bij wettelijk voorschrift geregelde termijnen het tijdstip waarop tot het buiten toepassing laten wordt beslist, gelijkgesteld met het tijdstip van ontvangst van de aanvraag.  $ Lid4 :  $  Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.artikel 3:21, eerste lid, onderdeel a Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.
ontbreekt; $ Lid1 :  $  De besluiten worden zoveel mogelijk gelijktijdig aangevraagd, met dien verstande dat de laatste aanvraag niet later wordt ingediend dan zes weken na ontvangst van de eerste aanvraag.  $ Lid2 :  $  De aanvragen worden ingediend bij het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan zendt terstond na ontvangst van de aanvragen een afschrift daarvan aan de bevoegde bestuursorganen.  $ Lid3 :  $  Indien een aanvraag voor een van de besluiten ontbreekt, stelt het cordinerend bestuursorgaan de aanvrager in de gelegenheid de ontbrekende aanvraag binnen een door het cordinerend bestuursorgaan te bepalen termijn in te dienen. Indien de ontbrekende aanvraag niet tijdig wordt ingediend, is het cordinerend bestuursorgaan bevoegd om deze paragraaf ten aanzien van bepaalde besluiten buiten toepassing te laten. In dat geval wordt voor de toepassing van bij wettelijk voorschrift geregelde termijnen het tijdstip waarop tot het buiten toepassing laten wordt beslist, gelijkgesteld met het tijdstip van ontvangst van de aanvraag.  $ Lid4 :  $  Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.artikel 3:21, eerste lid, onderdeel a Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.
stelt; $ Lid1 :  $  De besluiten worden zoveel mogelijk gelijktijdig aangevraagd, met dien verstande dat de laatste aanvraag niet later wordt ingediend dan zes weken na ontvangst van de eerste aanvraag.  $ Lid2 :  $  De aanvragen worden ingediend bij het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan zendt terstond na ontvangst van de aanvragen een afschrift daarvan aan de bevoegde bestuursorganen.  $ Lid3 :  $  Indien een aanvraag voor een van de besluiten ontbreekt, stelt het cordinerend bestuursorgaan de aanvrager in de gelegenheid de ontbrekende aanvraag binnen een door het cordinerend bestuursorgaan te bepalen termijn in te dienen. Indien de ontbrekende aanvraag niet tijdig wordt ingediend, is het cordinerend bestuursorgaan bevoegd om deze paragraaf ten aanzien van bepaalde besluiten buiten toepassing te laten. In dat geval wordt voor de toepassing van bij wettelijk voorschrift geregelde termijnen het tijdstip waarop tot het buiten toepassing laten wordt beslist, gelijkgesteld met het tijdstip van ontvangst van de aanvraag.  $ Lid4 :  $  Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.artikel 3:21, eerste lid, onderdeel a Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.
bepalen; $ Lid1 :  $  De besluiten worden zoveel mogelijk gelijktijdig aangevraagd, met dien verstande dat de laatste aanvraag niet later wordt ingediend dan zes weken na ontvangst van de eerste aanvraag.  $ Lid2 :  $  De aanvragen worden ingediend bij het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan zendt terstond na ontvangst van de aanvragen een afschrift daarvan aan de bevoegde bestuursorganen.  $ Lid3 :  $  Indien een aanvraag voor een van de besluiten ontbreekt, stelt het cordinerend bestuursorgaan de aanvrager in de gelegenheid de ontbrekende aanvraag binnen een door het cordinerend bestuursorgaan te bepalen termijn in te dienen. Indien de ontbrekende aanvraag niet tijdig wordt ingediend, is het cordinerend bestuursorgaan bevoegd om deze paragraaf ten aanzien van bepaalde besluiten buiten toepassing te laten. In dat geval wordt voor de toepassing van bij wettelijk voorschrift geregelde termijnen het tijdstip waarop tot het buiten toepassing laten wordt beslist, gelijkgesteld met het tijdstip van ontvangst van de aanvraag.  $ Lid4 :  $  Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.artikel 3:21, eerste lid, onderdeel a Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.
behandeld; $ Lid1 :  $  De besluiten worden zoveel mogelijk gelijktijdig aangevraagd, met dien verstande dat de laatste aanvraag niet later wordt ingediend dan zes weken na ontvangst van de eerste aanvraag.  $ Lid2 :  $  De aanvragen worden ingediend bij het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan zendt terstond na ontvangst van de aanvragen een afschrift daarvan aan de bevoegde bestuursorganen.  $ Lid3 :  $  Indien een aanvraag voor een van de besluiten ontbreekt, stelt het cordinerend bestuursorgaan de aanvrager in de gelegenheid de ontbrekende aanvraag binnen een door het cordinerend bestuursorgaan te bepalen termijn in te dienen. Indien de ontbrekende aanvraag niet tijdig wordt ingediend, is het cordinerend bestuursorgaan bevoegd om deze paragraaf ten aanzien van bepaalde besluiten buiten toepassing te laten. In dat geval wordt voor de toepassing van bij wettelijk voorschrift geregelde termijnen het tijdstip waarop tot het buiten toepassing laten wordt beslist, gelijkgesteld met het tijdstip van ontvangst van de aanvraag.  $ Lid4 :  $  Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.artikel 3:21, eerste lid, onderdeel a Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.
besluiten;" $ Lid1 :  $  Indien op de voorbereiding van een van de besluiten  van toepassing is, is die afdeling van toepassing op de voorbereiding van alle besluiten, met inachtneming van het volgende:afdeling 3.4 Indien op de voorbereiding van een van de besluiten  van toepassing is, is die afdeling van toepassing op de voorbereiding van alle besluiten, met inachtneming van het volgende:  $ Onderdeela :  $  de ingevolge de  en , vereiste terinzagelegging geschiedt in ieder geval ten kantore van het cordinerend bestuursorgaan;artikelen 3:11 de ingevolge de  en , vereiste terinzagelegging geschiedt in ieder geval ten kantore van het cordinerend bestuursorgaan;  $ Onderdeelb :  $  het cordinerend bestuursorgaan draagt er zorg voor dat de gelegenheid tot het mondeling naar voren brengen van zienswijzen wordt gegeven met betrekking tot de ontwerpen van alle besluiten gezamenlijk;  $ Onderdeelc :  $  zienswijzen kunnen in ieder geval bij het cordinerend bestuursorgaan naar voren worden gebracht;  $ Onderdeeld :  $  indien over het ontwerp van een van de besluiten zienswijzen naar voren kunnen worden gebracht door een ieder, geldt dit eveneens met betrekking tot de ontwerpen van de andere besluiten;  $ Onderdeele :  $  de ingevolge die afdeling en  vereiste mededelingen, kennisgevingen en toezendingen geschieden door het cordinerend bestuursorgaan;afdeling 3.6 de ingevolge die afdeling en  vereiste mededelingen, kennisgevingen en toezendingen geschieden door het cordinerend bestuursorgaan;  $ Onderdeelf :  $  alle besluiten worden genomen binnen de termijn die geldt voor het besluit met de langste beslistermijn;  $ Onderdeelg :  $  de dag van terinzagelegging bij het cordinerend bestuursorgaan is bepalend voor de aanvang van de beroepstermijn ingevolge .artikel 6:8, vierde lid de dag van terinzagelegging bij het cordinerend bestuursorgaan is bepalend voor de aanvang van de beroepstermijn ingevolge .  $ Lid2 :  $  Indien  niet van toepassing is, geschiedt de voorbereiding met toepassing of overeenkomstige toepassing van  en de onderdelen b tot en met f van het eerste lid van dit artikel.afdeling 3.4 Indien  niet van toepassing is, geschiedt de voorbereiding met toepassing of overeenkomstige toepassing van  en de onderdelen b tot en met f van het eerste lid van dit artikel."
gegeven;" $ Lid1 :  $  Indien op de voorbereiding van een van de besluiten  van toepassing is, is die afdeling van toepassing op de voorbereiding van alle besluiten, met inachtneming van het volgende:afdeling 3.4 Indien op de voorbereiding van een van de besluiten  van toepassing is, is die afdeling van toepassing op de voorbereiding van alle besluiten, met inachtneming van het volgende:  $ Onderdeela :  $  de ingevolge de  en , vereiste terinzagelegging geschiedt in ieder geval ten kantore van het cordinerend bestuursorgaan;artikelen 3:11 de ingevolge de  en , vereiste terinzagelegging geschiedt in ieder geval ten kantore van het cordinerend bestuursorgaan;  $ Onderdeelb :  $  het cordinerend bestuursorgaan draagt er zorg voor dat de gelegenheid tot het mondeling naar voren brengen van zienswijzen wordt gegeven met betrekking tot de ontwerpen van alle besluiten gezamenlijk;  $ Onderdeelc :  $  zienswijzen kunnen in ieder geval bij het cordinerend bestuursorgaan naar voren worden gebracht;  $ Onderdeeld :  $  indien over het ontwerp van een van de besluiten zienswijzen naar voren kunnen worden gebracht door een ieder, geldt dit eveneens met betrekking tot de ontwerpen van de andere besluiten;  $ Onderdeele :  $  de ingevolge die afdeling en  vereiste mededelingen, kennisgevingen en toezendingen geschieden door het cordinerend bestuursorgaan;afdeling 3.6 de ingevolge die afdeling en  vereiste mededelingen, kennisgevingen en toezendingen geschieden door het cordinerend bestuursorgaan;  $ Onderdeelf :  $  alle besluiten worden genomen binnen de termijn die geldt voor het besluit met de langste beslistermijn;  $ Onderdeelg :  $  de dag van terinzagelegging bij het cordinerend bestuursorgaan is bepalend voor de aanvang van de beroepstermijn ingevolge .artikel 6:8, vierde lid de dag van terinzagelegging bij het cordinerend bestuursorgaan is bepalend voor de aanvang van de beroepstermijn ingevolge .  $ Lid2 :  $  Indien  niet van toepassing is, geschiedt de voorbereiding met toepassing of overeenkomstige toepassing van  en de onderdelen b tot en met f van het eerste lid van dit artikel.afdeling 3.4 Indien  niet van toepassing is, geschiedt de voorbereiding met toepassing of overeenkomstige toepassing van  en de onderdelen b tot en met f van het eerste lid van dit artikel."
ontwerpen;" $ Lid1 :  $  Indien op de voorbereiding van een van de besluiten  van toepassing is, is die afdeling van toepassing op de voorbereiding van alle besluiten, met inachtneming van het volgende:afdeling 3.4 Indien op de voorbereiding van een van de besluiten  van toepassing is, is die afdeling van toepassing op de voorbereiding van alle besluiten, met inachtneming van het volgende:  $ Onderdeela :  $  de ingevolge de  en , vereiste terinzagelegging geschiedt in ieder geval ten kantore van het cordinerend bestuursorgaan;artikelen 3:11 de ingevolge de  en , vereiste terinzagelegging geschiedt in ieder geval ten kantore van het cordinerend bestuursorgaan;  $ Onderdeelb :  $  het cordinerend bestuursorgaan draagt er zorg voor dat de gelegenheid tot het mondeling naar voren brengen van zienswijzen wordt gegeven met betrekking tot de ontwerpen van alle besluiten gezamenlijk;  $ Onderdeelc :  $  zienswijzen kunnen in ieder geval bij het cordinerend bestuursorgaan naar voren worden gebracht;  $ Onderdeeld :  $  indien over het ontwerp van een van de besluiten zienswijzen naar voren kunnen worden gebracht door een ieder, geldt dit eveneens met betrekking tot de ontwerpen van de andere besluiten;  $ Onderdeele :  $  de ingevolge die afdeling en  vereiste mededelingen, kennisgevingen en toezendingen geschieden door het cordinerend bestuursorgaan;afdeling 3.6 de ingevolge die afdeling en  vereiste mededelingen, kennisgevingen en toezendingen geschieden door het cordinerend bestuursorgaan;  $ Onderdeelf :  $  alle besluiten worden genomen binnen de termijn die geldt voor het besluit met de langste beslistermijn;  $ Onderdeelg :  $  de dag van terinzagelegging bij het cordinerend bestuursorgaan is bepalend voor de aanvang van de beroepstermijn ingevolge .artikel 6:8, vierde lid de dag van terinzagelegging bij het cordinerend bestuursorgaan is bepalend voor de aanvang van de beroepstermijn ingevolge .  $ Lid2 :  $  Indien  niet van toepassing is, geschiedt de voorbereiding met toepassing of overeenkomstige toepassing van  en de onderdelen b tot en met f van het eerste lid van dit artikel.afdeling 3.4 Indien  niet van toepassing is, geschiedt de voorbereiding met toepassing of overeenkomstige toepassing van  en de onderdelen b tot en met f van het eerste lid van dit artikel."
genomen;" $ Lid1 :  $  Indien op de voorbereiding van een van de besluiten  van toepassing is, is die afdeling van toepassing op de voorbereiding van alle besluiten, met inachtneming van het volgende:afdeling 3.4 Indien op de voorbereiding van een van de besluiten  van toepassing is, is die afdeling van toepassing op de voorbereiding van alle besluiten, met inachtneming van het volgende:  $ Onderdeela :  $  de ingevolge de  en , vereiste terinzagelegging geschiedt in ieder geval ten kantore van het cordinerend bestuursorgaan;artikelen 3:11 de ingevolge de  en , vereiste terinzagelegging geschiedt in ieder geval ten kantore van het cordinerend bestuursorgaan;  $ Onderdeelb :  $  het cordinerend bestuursorgaan draagt er zorg voor dat de gelegenheid tot het mondeling naar voren brengen van zienswijzen wordt gegeven met betrekking tot de ontwerpen van alle besluiten gezamenlijk;  $ Onderdeelc :  $  zienswijzen kunnen in ieder geval bij het cordinerend bestuursorgaan naar voren worden gebracht;  $ Onderdeeld :  $  indien over het ontwerp van een van de besluiten zienswijzen naar voren kunnen worden gebracht door een ieder, geldt dit eveneens met betrekking tot de ontwerpen van de andere besluiten;  $ Onderdeele :  $  de ingevolge die afdeling en  vereiste mededelingen, kennisgevingen en toezendingen geschieden door het cordinerend bestuursorgaan;afdeling 3.6 de ingevolge die afdeling en  vereiste mededelingen, kennisgevingen en toezendingen geschieden door het cordinerend bestuursorgaan;  $ Onderdeelf :  $  alle besluiten worden genomen binnen de termijn die geldt voor het besluit met de langste beslistermijn;  $ Onderdeelg :  $  de dag van terinzagelegging bij het cordinerend bestuursorgaan is bepalend voor de aanvang van de beroepstermijn ingevolge .artikel 6:8, vierde lid de dag van terinzagelegging bij het cordinerend bestuursorgaan is bepalend voor de aanvang van de beroepstermijn ingevolge .  $ Lid2 :  $  Indien  niet van toepassing is, geschiedt de voorbereiding met toepassing of overeenkomstige toepassing van  en de onderdelen b tot en met f van het eerste lid van dit artikel.afdeling 3.4 Indien  niet van toepassing is, geschiedt de voorbereiding met toepassing of overeenkomstige toepassing van  en de onderdelen b tot en met f van het eerste lid van dit artikel."
bepalend;" $ Lid1 :  $  Indien op de voorbereiding van een van de besluiten  van toepassing is, is die afdeling van toepassing op de voorbereiding van alle besluiten, met inachtneming van het volgende:afdeling 3.4 Indien op de voorbereiding van een van de besluiten  van toepassing is, is die afdeling van toepassing op de voorbereiding van alle besluiten, met inachtneming van het volgende:  $ Onderdeela :  $  de ingevolge de  en , vereiste terinzagelegging geschiedt in ieder geval ten kantore van het cordinerend bestuursorgaan;artikelen 3:11 de ingevolge de  en , vereiste terinzagelegging geschiedt in ieder geval ten kantore van het cordinerend bestuursorgaan;  $ Onderdeelb :  $  het cordinerend bestuursorgaan draagt er zorg voor dat de gelegenheid tot het mondeling naar voren brengen van zienswijzen wordt gegeven met betrekking tot de ontwerpen van alle besluiten gezamenlijk;  $ Onderdeelc :  $  zienswijzen kunnen in ieder geval bij het cordinerend bestuursorgaan naar voren worden gebracht;  $ Onderdeeld :  $  indien over het ontwerp van een van de besluiten zienswijzen naar voren kunnen worden gebracht door een ieder, geldt dit eveneens met betrekking tot de ontwerpen van de andere besluiten;  $ Onderdeele :  $  de ingevolge die afdeling en  vereiste mededelingen, kennisgevingen en toezendingen geschieden door het cordinerend bestuursorgaan;afdeling 3.6 de ingevolge die afdeling en  vereiste mededelingen, kennisgevingen en toezendingen geschieden door het cordinerend bestuursorgaan;  $ Onderdeelf :  $  alle besluiten worden genomen binnen de termijn die geldt voor het besluit met de langste beslistermijn;  $ Onderdeelg :  $  de dag van terinzagelegging bij het cordinerend bestuursorgaan is bepalend voor de aanvang van de beroepstermijn ingevolge .artikel 6:8, vierde lid de dag van terinzagelegging bij het cordinerend bestuursorgaan is bepalend voor de aanvang van de beroepstermijn ingevolge .  $ Lid2 :  $  Indien  niet van toepassing is, geschiedt de voorbereiding met toepassing of overeenkomstige toepassing van  en de onderdelen b tot en met f van het eerste lid van dit artikel.afdeling 3.4 Indien  niet van toepassing is, geschiedt de voorbereiding met toepassing of overeenkomstige toepassing van  en de onderdelen b tot en met f van het eerste lid van dit artikel."
genomen; $ Lid1 :  $  De bevoegde bestuursorganen zenden de door hen genomen besluiten toe aan het cordinerend bestuursorgaan.  $ Lid2 :  $  Het cordinerend bestuursorgaan maakt de besluiten gelijktijdig bekend en legt deze gelijktijdig ter inzage.
besluiten; $ Lid1 :  $  De bevoegde bestuursorganen zenden de door hen genomen besluiten toe aan het cordinerend bestuursorgaan.  $ Lid2 :  $  Het cordinerend bestuursorgaan maakt de besluiten gelijktijdig bekend en legt deze gelijktijdig ter inzage.
maakt; $ Lid1 :  $  De bevoegde bestuursorganen zenden de door hen genomen besluiten toe aan het cordinerend bestuursorgaan.  $ Lid2 :  $  Het cordinerend bestuursorgaan maakt de besluiten gelijktijdig bekend en legt deze gelijktijdig ter inzage.
maakt; $ Lid1 :  $  Indien tegen een van de besluiten bezwaar kan worden gemaakt of administratief beroep kan worden ingesteld, geschiedt dit door het indienen van het bezwaar- of beroepschrift bij het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan zendt terstond na ontvangst van het bezwaar- of beroepschrift een afschrift daarvan aan het bevoegde bestuursorgaan.  $ Lid2 :  $  De bevoegde bestuursorganen zenden de door hen genomen beslissingen op bezwaar of beroep toe aan het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan maakt de beslissingen gelijktijdig bekend en doet de ingevolge , of , vereiste mededelingen.artikel 7:12, derde lid De bevoegde bestuursorganen zenden de door hen genomen beslissingen op bezwaar of beroep toe aan het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan maakt de beslissingen gelijktijdig bekend en doet de ingevolge , of , vereiste mededelingen.  $ Lid3 :  $  Een beslissing op een verzoek in te stemmen met rechtstreeks beroep bij de bestuursrechter als bedoeld in , wordt genomen door het cordinerend bestuursorgaan. Onverminderd artikel 7:1a, tweede lid, wijst het cordinerend bestuursorgaan het verzoek in ieder geval af, indien tegen een van de andere besluiten een bezwaarschrift is ingediend waarin eenzelfde verzoek ontbreekt.artikel 7:1a, vierde lid Een beslissing op een verzoek in te stemmen met rechtstreeks beroep bij de bestuursrechter als bedoeld in , wordt genomen door het cordinerend bestuursorgaan. Onverminderd artikel 7:1a, tweede lid, wijst het cordinerend bestuursorgaan het verzoek in ieder geval af, indien tegen een van de andere besluiten een bezwaarschrift is ingediend waarin eenzelfde verzoek ontbreekt.
ingesteld; $ Lid1 :  $  Indien tegen een van de besluiten bezwaar kan worden gemaakt of administratief beroep kan worden ingesteld, geschiedt dit door het indienen van het bezwaar- of beroepschrift bij het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan zendt terstond na ontvangst van het bezwaar- of beroepschrift een afschrift daarvan aan het bevoegde bestuursorgaan.  $ Lid2 :  $  De bevoegde bestuursorganen zenden de door hen genomen beslissingen op bezwaar of beroep toe aan het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan maakt de beslissingen gelijktijdig bekend en doet de ingevolge , of , vereiste mededelingen.artikel 7:12, derde lid De bevoegde bestuursorganen zenden de door hen genomen beslissingen op bezwaar of beroep toe aan het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan maakt de beslissingen gelijktijdig bekend en doet de ingevolge , of , vereiste mededelingen.  $ Lid3 :  $  Een beslissing op een verzoek in te stemmen met rechtstreeks beroep bij de bestuursrechter als bedoeld in , wordt genomen door het cordinerend bestuursorgaan. Onverminderd artikel 7:1a, tweede lid, wijst het cordinerend bestuursorgaan het verzoek in ieder geval af, indien tegen een van de andere besluiten een bezwaarschrift is ingediend waarin eenzelfde verzoek ontbreekt.artikel 7:1a, vierde lid Een beslissing op een verzoek in te stemmen met rechtstreeks beroep bij de bestuursrechter als bedoeld in , wordt genomen door het cordinerend bestuursorgaan. Onverminderd artikel 7:1a, tweede lid, wijst het cordinerend bestuursorgaan het verzoek in ieder geval af, indien tegen een van de andere besluiten een bezwaarschrift is ingediend waarin eenzelfde verzoek ontbreekt.
genomen; $ Lid1 :  $  Indien tegen een van de besluiten bezwaar kan worden gemaakt of administratief beroep kan worden ingesteld, geschiedt dit door het indienen van het bezwaar- of beroepschrift bij het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan zendt terstond na ontvangst van het bezwaar- of beroepschrift een afschrift daarvan aan het bevoegde bestuursorgaan.  $ Lid2 :  $  De bevoegde bestuursorganen zenden de door hen genomen beslissingen op bezwaar of beroep toe aan het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan maakt de beslissingen gelijktijdig bekend en doet de ingevolge , of , vereiste mededelingen.artikel 7:12, derde lid De bevoegde bestuursorganen zenden de door hen genomen beslissingen op bezwaar of beroep toe aan het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan maakt de beslissingen gelijktijdig bekend en doet de ingevolge , of , vereiste mededelingen.  $ Lid3 :  $  Een beslissing op een verzoek in te stemmen met rechtstreeks beroep bij de bestuursrechter als bedoeld in , wordt genomen door het cordinerend bestuursorgaan. Onverminderd artikel 7:1a, tweede lid, wijst het cordinerend bestuursorgaan het verzoek in ieder geval af, indien tegen een van de andere besluiten een bezwaarschrift is ingediend waarin eenzelfde verzoek ontbreekt.artikel 7:1a, vierde lid Een beslissing op een verzoek in te stemmen met rechtstreeks beroep bij de bestuursrechter als bedoeld in , wordt genomen door het cordinerend bestuursorgaan. Onverminderd artikel 7:1a, tweede lid, wijst het cordinerend bestuursorgaan het verzoek in ieder geval af, indien tegen een van de andere besluiten een bezwaarschrift is ingediend waarin eenzelfde verzoek ontbreekt.
besluiten; $ Lid1 :  $  Indien tegen een van de besluiten bezwaar kan worden gemaakt of administratief beroep kan worden ingesteld, geschiedt dit door het indienen van het bezwaar- of beroepschrift bij het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan zendt terstond na ontvangst van het bezwaar- of beroepschrift een afschrift daarvan aan het bevoegde bestuursorgaan.  $ Lid2 :  $  De bevoegde bestuursorganen zenden de door hen genomen beslissingen op bezwaar of beroep toe aan het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan maakt de beslissingen gelijktijdig bekend en doet de ingevolge , of , vereiste mededelingen.artikel 7:12, derde lid De bevoegde bestuursorganen zenden de door hen genomen beslissingen op bezwaar of beroep toe aan het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan maakt de beslissingen gelijktijdig bekend en doet de ingevolge , of , vereiste mededelingen.  $ Lid3 :  $  Een beslissing op een verzoek in te stemmen met rechtstreeks beroep bij de bestuursrechter als bedoeld in , wordt genomen door het cordinerend bestuursorgaan. Onverminderd artikel 7:1a, tweede lid, wijst het cordinerend bestuursorgaan het verzoek in ieder geval af, indien tegen een van de andere besluiten een bezwaarschrift is ingediend waarin eenzelfde verzoek ontbreekt.artikel 7:1a, vierde lid Een beslissing op een verzoek in te stemmen met rechtstreeks beroep bij de bestuursrechter als bedoeld in , wordt genomen door het cordinerend bestuursorgaan. Onverminderd artikel 7:1a, tweede lid, wijst het cordinerend bestuursorgaan het verzoek in ieder geval af, indien tegen een van de andere besluiten een bezwaarschrift is ingediend waarin eenzelfde verzoek ontbreekt.
ingesteld;" $ Lid1 :  $  Indien tegen een of meer van de besluiten beroep kan worden ingesteld bij de rechtbank, staat tegen alle besluiten beroep open bij de rechtbank binnen het rechtsgebied waarvan het cordinerend bestuursorgaan zijn zetel heeft.  $ Lid2 :  $  Indien tegen alle besluiten beroep kan worden ingesteld bij een andere bestuursrechter dan de rechtbank, staat tegen alle besluiten beroep open bij:  $ Onderdeela :  $  de Afdeling bestuursrechtspraak van de Raad van State, indien tegen een of meer van de besluiten bij de Afdeling beroep kan worden ingesteld;  $ Onderdeelb :  $  het College van Beroep voor het bedrijfsleven, indien tegen een of meer van de besluiten beroep kan worden ingesteld bij het College en onderdeel a niet van toepassing is;  $ Onderdeelc :  $  de Centrale Raad van Beroep, indien tegen een of meer van de besluiten beroep kan worden ingesteld bij de Centrale Raad van Beroep en de onderdelen a en b niet van toepassing zijn.  $ Lid3 :  $  Indien tegen de uitspraak van de rechtbank inzake een of meer besluiten hoger beroep kan worden ingesteld bij:  $ Onderdeela :  $  de Afdeling bestuursrechtspraak van de Raad van State, staat inzake alle besluiten hoger beroep open bij de Afdeling;  $ Onderdeelb :  $  het College van Beroep voor het bedrijfsleven en onderdeel a niet van toepassing is, staat inzake alle besluiten hoger beroep open bij het College;  $ Onderdeelc :  $  de Centrale Raad van Beroep en de onderdelen a en b niet van toepassing zijn, staat inzake alle besluiten hoger beroep open bij de Centrale Raad van Beroep.  $ Lid4 :  $  De ingevolge het eerste lid bevoegde rechtbank of de ingevolge het tweede of derde lid bevoegde bestuursrechter kan de behandeling van de beroepen in eerste aanleg dan wel de hoger beroepen verwijzen naar een andere rechtbank onderscheidenlijk een andere bestuursrechter die voor de behandeling ervan meer geschikt wordt geacht. , is van overeenkomstige toepassing.Artikel 8:13, tweede en derde lid De ingevolge het eerste lid bevoegde rechtbank of de ingevolge het tweede of derde lid bevoegde bestuursrechter kan de behandeling van de beroepen in eerste aanleg dan wel de hoger beroepen verwijzen naar een andere rechtbank onderscheidenlijk een andere bestuursrechter die voor de behandeling ervan meer geschikt wordt geacht. , is van overeenkomstige toepassing."
